title,link,karma,date,keep
Eliciting secret knowledge from language models,https://www.alignmentforum.org/posts/Mv3yg7wMXfns3NPaz/eliciting-secret-knowledge-from-language-models-1,20,2025-10-02T20:57:13.496Z,y
Lectures on statistical learning theory for alignment researchers,https://www.alignmentforum.org/posts/yAwnYoeCz7PqeNrtL/lectures-on-statistical-learning-theory-for-alignment,15,2025-10-01T08:36:52.525Z,
AI Induced Psychosis: A shallow investigation,https://www.alignmentforum.org/posts/iGF7YcnQkEbwvYLPA/ai-induced-psychosis-a-shallow-investigation,83,2025-08-26T20:03:53.308Z,
Stress Testing Deliberative Alignment for Anti-Scheming Training,https://www.alignmentforum.org/posts/JmRfgNYCrYogCq7ny/stress-testing-deliberative-alignment-for-anti-scheming,57,2025-09-17T16:59:12.906Z,y
Four ways learning Econ makes people dumber re: future AI,https://www.alignmentforum.org/posts/xJWBofhLQjf3KmRgg/four-ways-learning-econ-makes-people-dumber-re-future-ai,119,2025-08-21T17:52:46.684Z,
Research Agenda: Synthesizing Standalone World-Models,https://www.alignmentforum.org/posts/LngR93YwiEpJ3kiWh/research-agenda-synthesizing-standalone-world-models,35,2025-09-22T19:06:14.592Z,y
"What, if not agency?",https://www.alignmentforum.org/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,40,2025-09-15T03:14:12.301Z,y
"Focus transparency on risk reports, not safety cases",https://www.alignmentforum.org/posts/KMbZWcTvGjChw9ynD/focus-transparency-on-risk-reports-not-safety-cases,24,2025-09-22T15:27:49.280Z,
"Synthesizing Standalone World-Models, Part 4: Metaphysical Justifications",https://www.alignmentforum.org/posts/gR96ANcNXQgh22qtG/synthesizing-standalone-world-models-part-4-metaphysical,12,2025-09-26T18:00:29.049Z,
"Trust me bro, just one more RL scale up, this one will be the real scale up with the good environments, the actually legit one, trust me bro",https://www.alignmentforum.org/posts/HsLWpZ2zad43nzvWi/trust-me-bro-just-one-more-rl-scale-up-this-one-will-be-the,57,2025-09-03T13:21:35.726Z,
LLM AGI may reason about its goals and discover misalignments by default,https://www.alignmentforum.org/posts/4XdxiqBsLKqiJ9xRM/llm-agi-may-reason-about-its-goals-and-discover,32,2025-09-15T14:58:01.265Z,
Subliminal Learning: LLMs Transmit Behavioral Traits via Hidden Signals in Data,https://www.alignmentforum.org/posts/cGcwQDKAKbQ68BGuR/subliminal-learning-llms-transmit-behavioral-traits-via,105,2025-07-22T16:37:22.475Z,y
Natural Latents: Latent Variables Stable Across Ontologies,https://www.alignmentforum.org/posts/Qdgo2jYAuFRMeMRJT/natural-latents-latent-variables-stable-across-ontologies,50,2025-09-04T00:33:14.621Z,y
From SLT to AIT: NN generalisation out-of-distribution,https://www.alignmentforum.org/posts/2MX2bXreTtntB85Zy/from-slt-to-ait-nn-generalisation-out-of-distribution,34,2025-09-04T15:20:02.296Z,y
Alignment as uploading with more steps,https://www.alignmentforum.org/posts/AzFxTMFfkTt4mhMKt/alignment-as-uploading-with-more-steps,23,2025-09-14T04:08:36.418Z,
How To Become A Mechanistic Interpretability Researcher,https://www.alignmentforum.org/posts/jP9KDyMkchuv6tHwm/how-to-become-a-mechanistic-interpretability-researcher,36,2025-09-02T23:38:43.780Z,
Prospects for studying actual schemers,https://www.alignmentforum.org/posts/gALJWSfoTkq2ky5os/prospects-for-studying-actual-schemers,28,2025-09-19T14:11:28.816Z,
My AGI timeline updates from GPT-5 (and 2025 so far),https://www.alignmentforum.org/posts/2ssPfDpdrjaM2rMbn/my-agi-timeline-updates-from-gpt-5-and-2025-so-far-1,56,2025-08-20T16:11:16.656Z,
"Synthesizing Standalone World-Models, Part 1: Abstraction Hierarchies",https://www.alignmentforum.org/posts/xvCNjLL3GZ6w2BWeb/synthesizing-standalone-world-models-part-1-abstraction,11,2025-09-23T17:01:29.964Z,y
Draconian measures can increase the risk of irrevocable catastrophe,https://www.alignmentforum.org/posts/xSxdtEAnum56e8dqH/draconian-measures-can-increase-the-risk-of-irrevocable-1,6,2025-09-23T21:40:31.403Z,
Lessons from Studying Two-Hop Latent Reasoning,https://www.alignmentforum.org/posts/MdKWqFrNstiZQ3G6K/lessons-from-studying-two-hop-latent-reasoning,29,2025-09-11T17:53:58.503Z,y
"Synthesizing Standalone World-Models, Part 2: Shifting Structures",https://www.alignmentforum.org/posts/kNyMwXQxctWtaRZhs/synthesizing-standalone-world-models-part-2-shifting,8,2025-09-24T19:02:14.662Z,
"Synthesizing Standalone World-Models, Part 3: Dataset-Assembly",https://www.alignmentforum.org/posts/eQX93nxapSdxQYdkL/synthesizing-standalone-world-models-part-3-dataset-assembly,7,2025-09-25T19:21:37.730Z,
(∃ Stochastic Natural Latent) Implies (∃ Deterministic Natural Latent),https://www.alignmentforum.org/posts/Gd36HT7qLr684SYuQ/stochastic-natural-latent-implies-deterministic-natural,52,2025-08-22T21:46:37.235Z,
Crisp Supra-Decision Processes,https://www.alignmentforum.org/posts/mt82ZhdEsfh6CNYse/crisp-supra-decision-processes,19,2025-09-17T15:56:40.549Z,
AI 2027: What Superintelligence Looks Like,https://www.alignmentforum.org/posts/TpSFoqoG2M5MAAesg/ai-2027-what-superintelligence-looks-like-1,190,2025-04-03T16:23:44.619Z,y
Attaching requirements to model releases has serious downsides (relative to a different deadline for these requirements),https://www.alignmentforum.org/posts/Eh7WdKTrpLch5Kvkz/attaching-requirements-to-model-releases-has-serious,49,2025-08-27T17:04:23.590Z,
Optimizing The Final Output Can Obfuscate CoT (Research Note),https://www.alignmentforum.org/posts/CM7AsQoBxDW4vhkP3/optimizing-the-final-output-can-obfuscate-cot-research-note,77,2025-07-30T21:26:42.796Z,
the void,https://www.alignmentforum.org/posts/3EzbtNLdcnZe8og8b/the-void-1,102,2025-06-11T03:19:18.538Z,
"If anyone builds it, everyone will plausibly be fine",https://www.alignmentforum.org/posts/pozSWmqLqqc7Z2mQW/if-anyone-builds-it-everyone-will-plausibly-be-fine-2,16,2025-09-18T20:03:33.366Z,
Training a Reward Hacker Despite Perfect Labels,https://www.alignmentforum.org/posts/dbYEoG7jNZbeWX39o/training-a-reward-hacker-despite-perfect-labels,53,2025-08-14T23:57:21.054Z,y
What training data should developers filter to reduce risk from misaligned AI? An initial narrow proposal,https://www.alignmentforum.org/posts/dEiBJDtSmbC8dChwe/what-training-data-should-developers-filter-to-reduce-risk-1,19,2025-09-17T15:30:23.839Z,
Foom & Doom 1: “Brain in a box in a basement”,https://www.alignmentforum.org/posts/yew6zFWAKG4AGs3Wk/foom-and-doom-1-brain-in-a-box-in-a-basement,86,2025-06-23T17:18:54.237Z,y
METR's Evaluation of GPT-5,https://www.alignmentforum.org/posts/SuvWoLaGiNjPDcA7d/metr-s-evaluation-of-gpt-5,53,2025-08-07T22:17:42.947Z,y
AIs will greatly change engineering in AI companies well before AGI,https://www.alignmentforum.org/posts/uRdJio8pnTqHpWa4t/ais-will-greatly-change-engineering-in-ai-companies-well,24,2025-09-09T16:58:33.031Z,
Video and transcript of talk on giving AIs safe motivations,https://www.alignmentforum.org/posts/LQsoCMGDsgZJPDbSG/video-and-transcript-of-talk-on-giving-ais-safe-motivations,7,2025-09-22T16:43:09.032Z,
Beware General Claims about “Generalizable Reasoning Capabilities” (of Modern AI Systems),https://www.alignmentforum.org/posts/5uw26uDdFbFQgKzih/beware-general-claims-about-generalizable-reasoning,106,2025-06-11T19:27:33.648Z,
Narrow Finetuning Leaves Clearly Readable Traces in Activation Differences,https://www.alignmentforum.org/posts/sBSjEBykQkmSfqrwt/narrow-finetuning-leaves-clearly-readable-traces-in,23,2025-09-05T12:11:49.617Z,
Towards Alignment Auditing as a Numbers-Go-Up Science,https://www.alignmentforum.org/posts/bGYQgBPEyHidnZCdE/towards-alignment-auditing-as-a-numbers-go-up-science,59,2025-08-04T22:30:52.101Z,
Do-Divergence: A Bound for Maxwell's Demon,https://www.alignmentforum.org/posts/DHSY697pRWYto6LsF/do-divergence-a-bound-for-maxwell-s-demon,29,2025-08-26T17:07:16.441Z,
Decision Theory Guarding is Sufficient for Scheming,https://www.alignmentforum.org/posts/NccvE4GAhHbFim5Eb/decision-theory-guarding-is-sufficient-for-scheming,26,2025-09-09T14:49:17.388Z,
Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,https://www.alignmentforum.org/posts/7xneDbsgj6yJDJMjK/chain-of-thought-monitorability-a-new-and-fragile,80,2025-07-15T16:23:17.588Z,y
Hidden Reasoning in LLMs: A Taxonomy,https://www.alignmentforum.org/posts/ZrgFfeWuckpwK5Lyi/hidden-reasoning-in-llms-a-taxonomy,21,2025-08-25T22:43:05.838Z,
Do Not Tile the Lightcone with Your Confused Ontology,https://www.alignmentforum.org/posts/Y8zS8iG5HhqKcQBtA/do-not-tile-the-lightcone-with-your-confused-ontology,63,2025-06-13T12:45:23.325Z,
Large Language Models and the Critical Brain Hypothesis,https://www.alignmentforum.org/posts/Ntdwc5nrPGZMicAWz/large-language-models-and-the-critical-brain-hypothesis-1,15,2025-09-09T15:45:37.805Z,
Interpretability Will Not Reliably Find Deceptive AI,https://www.alignmentforum.org/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai,117,2025-05-04T16:32:29.643Z,y
Distillation Robustifies Unlearning,https://www.alignmentforum.org/posts/anX4QrNjhJqGFvrBr/distillation-robustifies-unlearning,87,2025-06-13T13:45:26.261Z,y
A recurrent CNN finds maze paths by filling dead-ends,https://www.alignmentforum.org/posts/HKvFHbKfjryqXhuuu/a-recurrent-cnn-finds-maze-paths-by-filling-dead-ends,12,2025-09-15T20:49:23.145Z,
Resampling Conserves Redundancy (Approximately),https://www.alignmentforum.org/posts/cpxxfagD92ivLZCp4/resampling-conserves-redundancy-approximately,29,2025-08-21T22:43:20.894Z,
Why Do Some Language Models Fake Alignment While Others Don't?,https://www.alignmentforum.org/posts/ghESoA8mo3fv9Yx3E/why-do-some-language-models-fake-alignment-while-others-don,74,2025-07-08T21:49:30.088Z,y
AI companies have started saying safeguards are load-bearing,https://www.alignmentforum.org/posts/Bz2gPtqRJJDWyKxnX/ai-companies-have-started-saying-safeguards-are-load-bearing,22,2025-08-27T13:00:36.942Z,
Being honest with AIs,https://www.alignmentforum.org/posts/uuikfACQBm4KJZp4w/being-honest-with-ais,31,2025-08-21T03:57:17.392Z,
New Paper on Reflective Oracles & Grain of Truth Problem,https://www.alignmentforum.org/posts/PuGxDb27xhRPBPbiv/new-paper-on-reflective-oracles-and-grain-of-truth-problem,27,2025-08-26T00:18:35.862Z,
Mech interp is not pre-paradigmatic,https://www.alignmentforum.org/posts/beREnXhBnzxbJtr8k/mech-interp-is-not-pre-paradigmatic,78,2025-06-10T13:39:26.457Z,y
AI companies' eval reports mostly don't support their claims,https://www.alignmentforum.org/posts/AK6AihHGjirdoiJg6/ai-companies-eval-reports-mostly-don-t-support-their-claims,80,2025-06-09T13:00:40.942Z,
"Narrow Misalignment is Hard, Emergent Misalignment is Easy",https://www.alignmentforum.org/posts/gLDSqQm8pwNiq7qst/narrow-misalignment-is-hard-emergent-misalignment-is-easy,61,2025-07-14T21:05:57.653Z,y
Notes on cooperating with unaligned AIs,https://www.alignmentforum.org/posts/oLzoHA9ZtF2ygYgx4/notes-on-cooperating-with-unaligned-ais,28,2025-08-24T04:19:21.018Z,
Harmless reward hacks can generalize to misalignment in LLMs,https://www.alignmentforum.org/posts/CwJ2qWveb9JbaCGQ5/harmless-reward-hacks-can-generalize-to-misalignment-in-llms,22,2025-08-26T17:32:58.002Z,
How AI Takeover Might Happen in 2 Years,https://www.alignmentforum.org/posts/KFJ2LFogYqzfGB3uX/how-ai-takeover-might-happen-in-2-years,115,2025-02-07T17:10:10.530Z,
Comparing risk from internally-deployed AI to insider and outsider threats from humans,https://www.alignmentforum.org/posts/DCQ8GfzCqoBzgziew/comparing-risk-from-internally-deployed-ai-to-insider-and,58,2025-06-23T17:47:21.408Z,
Discovering Backdoor Triggers,https://www.alignmentforum.org/posts/kmNqsbgKWJHGqhj4g/discovering-backdoor-triggers,24,2025-08-19T06:24:33.088Z,
Thoughts on Gradual Disempowerment,https://www.alignmentforum.org/posts/ct6SMDuexe9uBwDoL/thoughts-on-gradual-disempowerment,26,2025-08-15T11:56:13.191Z,
MATS 8.0 Research Projects,https://www.alignmentforum.org/posts/3semWY8cZJN3pD66g/mats-8-0-research-projects,8,2025-09-09T01:29:41.189Z,
Foom & Doom 2: Technical alignment is hard,https://www.alignmentforum.org/posts/bnnKGSCHJghAvqPjS/foom-and-doom-2-technical-alignment-is-hard,56,2025-06-23T17:19:50.691Z,y
Tracing the Thoughts of a Large Language Model,https://www.alignmentforum.org/posts/zsr4rWRASxwmgXfmq/tracing-the-thoughts-of-a-large-language-model,104,2025-03-27T17:20:02.162Z,y
"Misalignment classifiers: Why they’re hard to evaluate adversarially, and why we're studying them anyway",https://www.alignmentforum.org/posts/jzHhJJq2cFmisRKB2/misalignment-classifiers-why-they-re-hard-to-evaluate,28,2025-08-15T11:48:31.667Z,y
CoT May Be Highly Informative Despite “Unfaithfulness” [METR],https://www.alignmentforum.org/posts/WAxkA6gDgrschZovx/cot-may-be-highly-informative-despite-unfaithfulness-metr,31,2025-08-11T21:47:35.493Z,y
Good Research Takes are Not Sufficient for Good Strategic Takes,https://www.alignmentforum.org/posts/P5zWiPF5cPJZSkiAK/good-research-takes-are-not-sufficient-for-good-strategic,101,2025-03-22T10:13:38.257Z,
Could one country outgrow the rest of the world?,https://www.alignmentforum.org/posts/x8uzeok9zhHGeCKAq/could-one-country-outgrow-the-rest-of-the-world,23,2025-08-21T15:32:39.524Z,
Towards data-centric interpretability with sparse autoencoders,https://www.alignmentforum.org/posts/a4EDinzAYtRwpNmx9/towards-data-centric-interpretability-with-sparse,17,2025-08-15T20:10:55.825Z,
Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,https://www.alignmentforum.org/posts/ifechgnJRtJdduFGC/emergent-misalignment-narrow-finetuning-can-produce-broadly,110,2025-02-25T17:39:31.059Z,y
The Industrial Explosion,https://www.alignmentforum.org/posts/Na2CBmNY7otypEmto/the-industrial-explosion,51,2025-06-26T14:41:41.238Z,
Safety cases for Pessimism,https://www.alignmentforum.org/posts/CpftMXCEnwqbWreHD/safety-cases-for-pessimism,10,2025-09-08T13:26:58.295Z,
"Claude, GPT, and Gemini All Struggle to Evade Monitors",https://www.alignmentforum.org/posts/dwEgSEPxpKjz3Fw5k/claude-gpt-and-gemini-all-struggle-to-evade-monitors,24,2025-08-06T20:28:26.671Z,y
Statistical suggestions for mech interp research and beyond,https://www.alignmentforum.org/posts/GxhtzqMwdTHo6326y/statistical-suggestions-for-mech-interp-research-and-beyond,26,2025-08-06T12:45:34.081Z,
Recent Redwood Research project proposals,https://www.alignmentforum.org/posts/RRxhzshdpneyTzKfq/recent-redwood-research-project-proposals,47,2025-07-14T22:27:01.367Z,
Steering Out-of-Distribution Generalization with Concept Ablation Fine-Tuning,https://www.alignmentforum.org/posts/BxeZNpiTvoEqTXndJ/steering-out-of-distribution-generalization-with-concept,37,2025-07-23T14:57:40.199Z,y
Perils of under- vs over-sculpting AGI desires,https://www.alignmentforum.org/posts/grgb2ipxQf2wzNDEG/perils-of-under-vs-over-sculpting-agi-desires,25,2025-08-05T18:13:32.628Z,y
Making deals with early schemers,https://www.alignmentforum.org/posts/psqkwsKrKHCfkhrQx/making-deals-with-early-schemers,54,2025-06-20T18:21:43.288Z,
What We Learned Trying to Diff Base and Chat Models (And Why It Matters),https://www.alignmentforum.org/posts/xmpauEXEerzYcJKNm/what-we-learned-trying-to-diff-base-and-chat-models-and-why,42,2025-06-30T17:17:42.719Z,y
On the functional self of LLMs,https://www.alignmentforum.org/posts/29aWbJARGF4ybAa5d/on-the-functional-self-of-llms,33,2025-07-07T15:39:29.881Z,
METR: Measuring AI Ability to Complete Long Tasks,https://www.alignmentforum.org/posts/deesrjitvXM4xYGZd/metr-measuring-ai-ability-to-complete-long-tasks,77,2025-03-19T16:00:54.874Z,y
Extract-and-Evaluate Monitoring Can Significantly Enhance CoT Monitor Performance (Research Note),https://www.alignmentforum.org/posts/nRcKDYi2KfRTXdvDF/extract-and-evaluate-monitoring-can-significantly-enhance,19,2025-08-08T10:41:13.514Z,
What’s the short timeline plan?,https://www.alignmentforum.org/posts/bb5Tnjdrptu89rcyY/what-s-the-short-timeline-plan,130,2025-01-02T14:59:20.026Z,y
Four places where you can put LLM monitoring,https://www.alignmentforum.org/posts/AmcEyFErJc9TQ5ySF/four-places-where-you-can-put-llm-monitoring,30,2025-08-09T23:10:26.504Z,y
An Introduction to Credal Sets and Infra-Bayes Learnability,https://www.alignmentforum.org/posts/rkhaRnAc6dLzQT2sJ/an-introduction-to-credal-sets-and-infra-bayes-learnability-1,15,2025-08-22T13:03:07.815Z,y
Proof Section to Crisp Supra-Decision Processes,https://www.alignmentforum.org/posts/2HDydzwuEGE4MNsjx/proof-section-to-crisp-supra-decision-processes,4,2025-09-17T15:57:07.064Z,
Model Organisms for Emergent Misalignment,https://www.alignmentforum.org/posts/yHmJrDSJpFaNTZ9Tr/model-organisms-for-emergent-misalignment,55,2025-06-16T15:46:41.739Z,y
How Can You Tell if You've Instilled a False Belief in Your LLM?,https://www.alignmentforum.org/posts/5G46ooS85ihDxtBvm/how-can-you-tell-if-you-ve-instilled-a-false-belief-in-your,8,2025-09-06T16:45:27.218Z,
White Box Control at UK AISI - Update on Sandbagging Investigations,https://www.alignmentforum.org/posts/pPEeMdgjpjHZWCDFw/white-box-control-at-uk-aisi-update-on-sandbagging,41,2025-07-10T13:37:05.487Z,y
Selective Generalization: Improving Capabilities While Maintaining Alignment,https://www.alignmentforum.org/posts/ZXxY2tccLapdjLbKm/selective-generalization-improving-capabilities-while,30,2025-07-16T21:25:39.203Z,
Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance,https://www.alignmentforum.org/posts/wnzkjSmrgWZaBa2aC/self-preservation-or-instruction-ambiguity-examining-the,41,2025-07-14T14:52:44.149Z,y
We Built a Tool to Protect Your Dataset From Simple Scrapers,https://www.alignmentforum.org/posts/DA3vbSEfABLdoCt59/we-built-a-tool-to-protect-your-dataset-from-simple-scrapers,29,2025-07-25T05:44:55.006Z,
“Behaviorist” RL reward functions lead to scheming,https://www.alignmentforum.org/posts/FNJF3SoNiwceAQ69W/behaviorist-rl-reward-functions-lead-to-scheming,25,2025-07-23T16:55:18.326Z,y
Sleeping Experts in the (reflective) Solomonoff Prior,https://www.alignmentforum.org/posts/Go2mQBP4AXRw3iNMk/sleeping-experts-in-the-reflective-solomonoff-prior,8,2025-08-31T04:55:48.633Z,
Research Note: Our scheming precursor evals had limited predictive power for our in-context scheming evals,https://www.alignmentforum.org/posts/9tqpPP4FwSnv9AWsi/research-note-our-scheming-precursor-evals-had-limited,43,2025-07-03T15:57:07.779Z,
Short Timelines Don't Devalue Long Horizon Research,https://www.alignmentforum.org/posts/3NdpbA6M5AM2gHvTW/short-timelines-don-t-devalue-long-horizon-research,68,2025-04-09T00:42:07.324Z,
Unfaithful chain-of-thought as nudged reasoning,https://www.alignmentforum.org/posts/vPAFPpRDEg3vjhNFi/unfaithful-chain-of-thought-as-nudged-reasoning,29,2025-07-22T22:35:15.481Z,
"Prover-Estimator Debate: 
A New Scalable Oversight Protocol",https://www.alignmentforum.org/posts/8XHBaugB5S3r27MG9/prover-estimator-debate-a-new-scalable-oversight-protocol,42,2025-06-17T13:53:04.125Z,y
Circuits in Superposition 2: Now with Less Wrong Math,https://www.alignmentforum.org/posts/FWkZYQceEzL84tNej/circuits-in-superposition-2-now-with-less-wrong-math,33,2025-06-30T10:25:01.981Z,
Claude Sonnet 3.7 (often) knows when it’s in alignment evaluations,https://www.alignmentforum.org/posts/E3daBewppAiECN3Ao/claude-sonnet-3-7-often-knows-when-it-s-in-alignment,71,2025-03-17T19:11:00.813Z,
Building and evaluating alignment auditing agents,https://www.alignmentforum.org/posts/DJAZHYjWxMrcd2na3/building-and-evaluating-alignment-auditing-agents,29,2025-07-24T19:22:26.195Z,
Agentic Misalignment: How LLMs Could be Insider Threats,https://www.alignmentforum.org/posts/b8eeCGe3FWzHKbePF/agentic-misalignment-how-llms-could-be-insider-threats-1,34,2025-06-20T22:34:59.515Z,y
OpenAI: Detecting misbehavior in frontier reasoning models,https://www.alignmentforum.org/posts/7wFdXj9oR8M9AiFht/openai-detecting-misbehavior-in-frontier-reasoning-models,73,2025-03-11T02:17:21.026Z,y
Gradual Disempowerment: Concrete Research Projects,https://www.alignmentforum.org/posts/GAv4DRGyDHe2orvwB/gradual-disempowerment-concrete-research-projects,36,2025-05-29T18:55:15.723Z,
“Sharp Left Turn” discourse: An opinionated review,https://www.alignmentforum.org/posts/2yLyT6kB7BQvTfEuZ/sharp-left-turn-discourse-an-opinionated-review,86,2025-01-28T18:47:04.395Z,
Jankily controlling superintelligence,https://www.alignmentforum.org/posts/ainn5APCKHTFxuHKv/jankily-controlling-superintelligence,35,2025-06-27T14:05:53.134Z,
A Simple Explanation of AGI Risk,https://www.alignmentforum.org/posts/W43vm8aD9jf9peAFf/a-simple-explanation-of-agi-risk,32,2025-07-01T16:18:07.914Z,
Why it's hard to make settings for high-stakes control research,https://www.alignmentforum.org/posts/xGaFncekAXEWq8Mrv/why-it-s-hard-to-make-settings-for-high-stakes-control,28,2025-07-18T16:33:18.896Z,
